table,version,root
part_iii,2007v2.10,Return/ReturnData/IRS990
part_iii,2007v2.10,Return/ReturnData/IRS990/Activity2
part_iii,2007v2.10,Return/ReturnData/IRS990/Activity3
part_iii,2007v2.10,Return/ReturnData/IRS990/ActivityOther
part_iii,2007v2.11,Return/ReturnData/IRS990
part_iii,2007v2.11,Return/ReturnData/IRS990/Activity2
part_iii,2007v2.11,Return/ReturnData/IRS990/Activity3
part_iii,2007v2.11,Return/ReturnData/IRS990/ActivityOther
part_iii,2007v2.3,Return/ReturnData/IRS990
part_iii,2007v2.3,Return/ReturnData/IRS990/Activity2
part_iii,2007v2.3,Return/ReturnData/IRS990/Activity3
part_iii,2007v2.3,Return/ReturnData/IRS990/ActivityOther
part_iii,2007v2.4,Return/ReturnData/IRS990
part_iii,2007v2.4,Return/ReturnData/IRS990/Activity2
part_iii,2007v2.4,Return/ReturnData/IRS990/Activity3
part_iii,2007v2.4,Return/ReturnData/IRS990/ActivityOther
part_iii,2007v2.6,Return/ReturnData/IRS990
part_iii,2007v2.6,Return/ReturnData/IRS990/Activity2
part_iii,2007v2.6,Return/ReturnData/IRS990/Activity3
part_iii,2007v2.6,Return/ReturnData/IRS990/ActivityOther
part_iii,2008v2.10,Return/ReturnData/IRS990
part_iii,2008v2.10,Return/ReturnData/IRS990/Activity2
part_iii,2008v2.10,Return/ReturnData/IRS990/Activity3
part_iii,2008v2.10,Return/ReturnData/IRS990/ActivityOther
part_iii,2008v2.5,Return/ReturnData/IRS990
part_iii,2008v2.5,Return/ReturnData/IRS990/Activity2
part_iii,2008v2.5,Return/ReturnData/IRS990/Activity3
part_iii,2008v2.5,Return/ReturnData/IRS990/ActivityOther
part_iii,2008v2.7,Return/ReturnData/IRS990
part_iii,2008v2.7,Return/ReturnData/IRS990/Activity2
part_iii,2008v2.7,Return/ReturnData/IRS990/Activity3
part_iii,2008v2.7,Return/ReturnData/IRS990/ActivityOther
part_iii,2008v2.9,Return/ReturnData/IRS990
part_iii,2008v2.9,Return/ReturnData/IRS990/Activity2
part_iii,2008v2.9,Return/ReturnData/IRS990/Activity3
part_iii,2008v2.9,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.0,Return/ReturnData/IRS990
part_iii,2009v1.0,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.0,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.0,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.1,Return/ReturnData/IRS990
part_iii,2009v1.1,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.1,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.1,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.2,Return/ReturnData/IRS990
part_iii,2009v1.2,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.2,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.2,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.3,Return/ReturnData/IRS990
part_iii,2009v1.3,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.3,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.3,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.4,Return/ReturnData/IRS990
part_iii,2009v1.4,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.4,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.4,Return/ReturnData/IRS990/ActivityOther
part_iii,2009v1.7,Return/ReturnData/IRS990
part_iii,2009v1.7,Return/ReturnData/IRS990/Activity2
part_iii,2009v1.7,Return/ReturnData/IRS990/Activity3
part_iii,2009v1.7,Return/ReturnData/IRS990/ActivityOther
part_iii,2010v3.2,Return/ReturnData/IRS990
part_iii,2010v3.2,Return/ReturnData/IRS990/Activity2
part_iii,2010v3.2,Return/ReturnData/IRS990/Activity3
part_iii,2010v3.2,Return/ReturnData/IRS990/ActivityOther
part_iii,2010v3.4,Return/ReturnData/IRS990
part_iii,2010v3.4,Return/ReturnData/IRS990/Activity2
part_iii,2010v3.4,Return/ReturnData/IRS990/Activity3
part_iii,2010v3.4,Return/ReturnData/IRS990/ActivityOther
part_iii,2010v3.6,Return/ReturnData/IRS990
part_iii,2010v3.6,Return/ReturnData/IRS990/Activity2
part_iii,2010v3.6,Return/ReturnData/IRS990/Activity3
